yo,en
Tolú ṣe ìgbáradì ṣíwájú ìdíje tó wáyé ní ìjẹta.,Tolu prepares before the competition that took place in Eta.
Péjú kò fìgbà kankan túra sílẹ̀ fún ìfigagbága náà.,Péju never gave up on the competition.
Lará ń dúró de àrídájú ìfigagbága náà.,Lará is waiting for the confirmation of the competition.
Nínú oṣù kẹfà ọdún yìí ni ìdíje àwọn ọ̀dọ́ máa wáyé.,"In the sixth month of this year, the youth competition will be held."
Lọlá ṣe ìpàdé pẹ̀lú u Lékan lórí i ìfigagbága tó ń bọ̀.,Lola had a meeting with him once again about the upcoming competition.
Ṣaléwá sú àkókò rẹ̀ síwájú nínú ikọ̀ ọ Igàngàn.,Shalewa prolongs his time in the Igganan mission.
Atamátàsé ọmọ orílẹ̀-èdè Nàíjíríà ni Ṣínà àti Ṣọlá.,Chinese and Shala are the ancestors of Nigerians.
Pẹ̀lúmi tí buwọ́ lu ìwé e àdéhùn ìṣiṣẹ́ ọlọ́dún mẹ́wàá.,Pelumi signed a ten-year employment contract.
Ó ṣeéṣe kí agbábọ́ọ̀lù náà ó kúrò nínú u ikọ̀ ọ Ọ̀wọ̀.,It is possible that the footballer will leave him with a message of respect.
Lékan ti gbá àpapọ̀ ọ bọ́ọ̀lù mẹ́wàá sáwọ̀n ní sáà yìí.,Lakan has hit a total of 10 balls this season.
Máyọ̀wá ṣe ìrànwọ́ ayò kan nínú ìfẹsẹ̀wọnsẹ̀ mẹ́wàá.,Mayowawa made one assist in 10 walks.
Awọn agbábọ́ọ̀lù wa ni ó gbóríyìn fún akọ́nimọ̀ọ́gbá a wa.,Our footballers praised our champion.
Mo dúpẹ́ lọ́wọ́ Ọlá gidi gan fún ìgbàgbọ́ ọ wọn nínú mi.,I am very grateful to Your Honor for their faith in me.
Àwọn agbábọ́ọ̀lù náà rànmí lọ́wọ́ púpọ̀.,The players helped me a lot.
Ikọ̀ tí ó nífẹ̀ẹ́ láti máa gba ife ẹ̀yẹ lọ́pọ̀lọpọ̀ ni ikọ̀ ọ Tápà.,The kick that he likes to win a lot of trophies is the Tapa kick.
Láídé dara pọ̀ mọ́ ikọ̀ agbábọ́ọ̀lù u Ayétẹ̀.,Laide joins the ambassador of footballer Ayete.
Mílíọ́nù mẹ́rìndínlógójì ni wón fi ra Àjàní.,They bought Ajani for 36 million.
Péjú rí ara rẹ̀ gẹ́gẹ́ bí ọ̀kan lára agbábọ́ọ̀lù ọ̀dọ́ tí ó dáa.,He sees himself as one of the best young footballers.
Akọ́nimọ̀ọ́gbá ikọ̀ ọ̀hún ni Àjàní Ọláládé Ayílárá.,The hero of that mission is Ajani Olálade Ayilára.
Ṣọlá tú buwọ́ lu ìwé àdéhùn nínú u ikọ̀ náà.,Carefully sign the contract in the embassy.
Àjàní wà lára agbábọ́ọ̀lu ọ̀dọ́ tí ó dára jùlọ fún ikọ̀ náà.,Ajani is one of the best young footballers for the job.
Ọ̀kẹ́ ni agbábọ́ọ̀lù tí àwọn akọ́nimọ̀ọ́gbá fẹ́ràn jùlọ.,Oke is the footballer who is most liked by the champions.
Kúnlé ní òun ò dí Ṣọlá lọ́wọ́ tó bá fẹ́ lọ,Kunle said that he did not stop Çola if he wanted to go
Kúnlé ti jẹ́ kí Ọlá mọ̀ pé òun kò dá a dúró tí ó bá fẹ́ lọ.,Kunlé has let Olá know that he will not stop him if he wants to go.
Adé sọ pé lòótọ́ òun fẹ́ kí Olú ó ṣì wà nínú ikọ̀ Ọ̀wọ̀.,Adé said that he really wanted the President to remain in the Embassy of Respect.
Adé ò ní dí mi lọ́wọ́ tí ó bá fẹ́ fi ikọ̀ agbábọ́ọ̀lù náà sílẹ̀.,Adé will not stop me if he wants to leave the ambassador.
Ikọ̀ agbábọ́ọ̀lu Ọ̀ṣun fẹ́ ki Ọlá ó dara pọ̀ mọ́ ikọ̀ ọ̀hún.,Osun's football player wants Ola to join him.
Bọ́ládé dara pọ̀ mọ́ ikọ̀ Òwu ní ọjọ́ Ẹtì.,Bolade joins Owu on the day of Eti.
Ikọ̀ Ìbàdàn fẹ́ kí Ṣọlá tọwọ́ bọ ìwé àdéhùn tuntun.,The Ibadan language wants Çola to sign a new contract.
Àjàní Adélékè dara pọ̀ mọ́ ikọ̀ ọ wa lọ́dún tó lọ.,Ajani Adeleke joined our embassy last year.
Ikọ̀ agbábòọ̀lù obìnrin ṣàfihàn akọ́nimọ̀ọ́gbá tuntun.,Women's soccer shows a new champion.
Ikọ̀ obìnrin wa ti ṣàfihàn akọ́nimọ̀ọ́gbá àgbà tuntun.,Our woman's tongue has revealed a new champion.
Mo wà nínú ọkọ̀ òfurufú kan tó dàbí ẹni pé ó fẹ́ ní ìjàm̀bá.,I was in a plane that looked like it was about to crash.
Lékan ti ṣetán láti lọ sí ikọ̀ agbábọ́ọ̀lù Ọ̀wọ̀,Once ready to go to the Ambassador of Honor
Mo wà lára àwọn akọ́nimọ̀ọ́gbá mẹ́wàá tí ó dáa jùlo.,I am among the ten best fighters.
Ẹ̀rù ń ba Ọlá pẹ̀lú bí ọkọ̀ òfúrufú náà ṣe ń ṣe lójú ofurufú.,Ola is afraid of how the plane is doing in the air.
Kò sí ìrètí pé ọkọ̀ tí wọ́n jígbé ma di ṣíṣàwárí mọ́.,There is no hope that the stolen vehicle will not be found.
Kò sí ìdánilójú pé ọ̀gá a wa máa wá ìpàdé lọ́la.,There is no guarantee that our boss will come to the meeting tomorrow.
Lọ́ládé ni ọ̀gá àgbà ilé-iṣẹ́ tó rí sí ìṣẹ̀lẹ̀ ẹ pàjáwìrì.,"Yesterday, the head of the company who saw the incident was an emergency."
Awakọ̀ òfurufú nínú ọkọ̀ ọ bàálù kan tí di àwátì lánàá.,A pilot in a helicopter that crashed yesterday.
Ikọ̀ adóòlà ẹ̀mí ti tẹ̀síwájú nínú u wíwá ọkọ̀ òfúrufú náà.,The ghost of the spirit continued to search for the plane.
Awọn èrò o inú ọkọ̀ ọ bàálù náà ti pàdánù ẹ̀mí i wọn.,The passengers in the helicopter have lost their lives.
Ṣọlá fi àtẹ̀jíṣẹ́ ránṣẹ́ sí ọ̀rẹ́ ẹ̀ rẹ̀ kan àti àwọn mọ̀lẹ́bí i rẹ̀.,Shalá sent a message to a friend of his and his family.
Kúnlé àti àwọn mọ̀lẹ́bí i rẹ̀ ti padà lọ sí Òkè-Ògùn.,Kunlé and his family have returned to Oke-Ogun.
Ní nǹkan bí aago mọ́kànlá òwúrọ̀ ni Ṣaléwá gbé ẹ̀mí mì.,"At about eleven o'clock in the morning, Saléwa took his breath."
Ọkọ̀ òfúrufú mẹ́ta àti bàálù kékeré kan wà lójú òfurufú.,There were three airplanes and a small helicopter in the air.
Gbadé sọ pé àwọn ti ń ṣàyẹ̀wò aláìsàn náà.,Gbadé said that they are examining the patient.
Kò tíì sí ìròyìn kankan nípa bàálù tó di àwáti ọ̀hún.,There has been no news about the balloon that went awry.
Olú ìlú orílẹ̀-èdè e Nàíjíríà ni Adé ń lọ lẹ́yìn tó bá kúrò níbí.,The capital of Nigeria is where the Crown is going after leaving here.
Adébáyọ̀ bọwọ́lu ìwé iṣẹ́ ẹ mílíọ́nù kan.,Adebayo signed a million book.
Adé e ti ikọ̀ Ìbàdàn ṣetán àti fẹ̀yìntì nípàrí i sáà yìí.,The crown of the ambassador of Ibadan is ready and retired at the end of this period.
Lékan ṣiṣẹ́ fún ogún ọdún gẹ́gẹ́ bíi akọ́ṣẹ́mọṣẹ́.,Once worked for twenty years as a professional.
Adérẹ̀mí ni Amùlé àkọ́kọ́ fún ikọ̀ ọ agbábọ́ọ̀lù u Nàíjíríà.,Adremi is the first Amule to represent Nigeria.
Nínú oṣù kẹfà ni ọmọ ọ̀hún dara pọ̀ mọ́ ikọ̀ ọ Tápà.,"In the sixth month, the child joined the Tapa mission."
Kẹ́mi ni ọmọ ọ̀hún tí ó dara pọ̀ mọ́ ikọ̀ ọ Tápà.,I am the son of the one who joined the mission of Tapa.
Láti inú ikọ̀ agbábọ́ọ̀lù Ọ̀sun ni Kẹ́mi ti darapọ̀ mọ́ wa.,Khemi has joined us from Osun football team.
Ní ọjọ́ ìṣégun ni Ìfẹsẹ̀wọnsẹ̀ náà máa wáyé ní ìlú Èkó.,"On the day of victory, the match will be held in the city of Eko."
O ti pé ogún ọdún tí Yẹmí tọwọ́ bọ ìwé àdéhùn.,It has been twenty years since Yemi signed the contract.
Àjànàkú nífẹ̀ẹ́ láti dara pọ̀ mọ́ ikọ̀ agbábọ́ọ̀lù Ọ̀sun.,Ajanaku loves to join the Osun football team.
Ladé ti sọ àdéhùn-un rẹ̀ di ọlọ́jọ́ pípẹ́.,Ladé has extended his contract.
Tádé wà nínú u àdéhùn aláyàálò láti inú ikọ̀ ọ Tápà.,There is a contract of electricity from Tapa's embassy.
Bọ́ládé ti di ará ilé nínú u ikọ̀ agbábọ́ọ̀lù u Tápà.,Bolade has become a member of the family in the football player Tapa.
Ó dà bí ẹni pé Ṣọlá ti fara mọ́ àdéhùn aláyàálò náà.,It seems that Shala has agreed to the contract.
Agbábọ́ọ̀lù ọwọ́ ẹ̀yìn-in ikọ̀ Ọ̀wọ̀ ti fa ara pa lóríi pápá.,The defender of Opa has killed himself on the field.
Ìdíje eré e ìdárayá jẹ́ ọ̀kan lára àwọn ìdíje tí ó tóbi jùlọ.,The e-sports competition is one of the biggest competitions.
Mi ò ní rò ó lẹ́ẹ̀mejì láti tọwọ́ bọ ìwé pẹ̀lú ikọ̀ yìí.,I wouldn't think twice to book with this message.
Ikọ̀ Ọ̀sun ti ya owó sọ́tọ̀ láti ra àwọn agbábọ́ọ̀lù titun.,Koko Osun has set aside money to buy new players.
Oríi pápá ni mo wà tí mo ti rí olólùfẹ́ ẹ̀ mi.,I was at the top of the field where I saw my lover.
Ikọ̀ ọ Tápà gbàlejò ìfẹsẹ̀wọnsẹ̀ ọlọ́rẹ̀ẹ́sọ́rẹ̀ẹ́ àgbááyé náà.,The city of Tapa hosted the international friendly competition.
A ti dé abala ìkẹyìn ìjíròrò o wa kí àwọn ọmọ náà tó wọlé.,We have reached the last part of the conversation before the children enter.
Ikọ̀ Ìgàngàn ni yóò gbàlejò àwọn ìfẹsẹ̀wọnsẹ̀ náà.,The matches will be hosted by Iggangan.
Ìfẹsẹ̀wọnsẹ̀ ẹ wa pẹ̀lụ́ Ọ̀wọ̀ máa wáyé ní ọ̀la.,Our match with Opa will take place tomorrow.
Gómínà a wa ti jẹ́ èyí tí ó nífẹ̀ẹ́ ìrìn-àjò ìgbafẹ́ ẹ eré ìdárayá.,Our governor has been one who loves travel and sports.
Orílẹ̀-èdè e Nàíjíríà ni ààyò láti gbàlejò o ìdíje ọdún tó ń bọ̀.,Nigeria is the preferred country to host next year's competition.
Ife ẹ̀yẹ ilẹ̀ Adúláwọ̀ ti ọdún tó ń bọ̀ ma wáyé nílùú Nàíjíríà.,Next year's Commonwealth Games will be held in Nigeria.
Nàíjíríà gbàlejò ọ ìdíje ife ẹ̀yẹ ilẹ̀ Adúláwọ̀ fún ìgbà àkọ́kọ́.,Nigeria hosted the Commonwealth Cup for the first time.
Ikọ̀ Igàngàn gba àmì ẹ̀yẹ bàbà fún ìgbà kẹta.,The Igganan team won the bronze medal for the third time.
Ikọ̀ Ọ̀wọ̀ ti gba ife-ẹ̀yẹ léra wọn nínú ìdíje ọ̀hún.,Respect has won the trophy against them in that competition.
Àjọ náà ti ṣetán láti gbàlejò ìdíje náà.,The organization is ready to host the tournament.
Ààrẹ ìgbìmọ̀ tó ń mójú tó ìdíje náà ti lọ sí ìlú òyìnbó lánàá.,The president of the committee in charge of the competition went to the city yesterday.
Àjọ àgbáyé yóò kéde orílẹ̀-èdè tí yóò gbàlejò ìdíje náà.,The World Organization will announce the country that will host the tournament.
Àyìnlá gba àmì-ẹ̀yẹ agbábọ́ọ̀lù tí ó dára jùlọ.,Ahinla won the best player award.
Agbábọ́ọ̀lù ọwọ́ iwájú ni Àjàní Adélakùn nínú u Ikọ̀ Ọ̀wọ̀.,Ajani Adélakun is the front-line player.
Adébóyè ti gba àmì-ẹ̀yẹ agbábọ́ọ̀lù u Nàíjíríà tí ó dára jùlọ.,Adéboye has won the best Nigerian footballer award.
Táyé ni ọmọ ogún ọdún tí ó kópa fún orílẹ̀-èdè e Nàíjíríà.,Tadey is a 20-year-old who participated for the country of Nigeria.
Àjànàkú ni agbábọ́ọ̀lù tí ó ti gba àmì ẹyẹ ọ̀hún dáadáa.,Ajanaku is a footballer who has won the award.
Ife-ẹ̀yẹ ìdíje àgbàáyé náà máa wáyé lórílẹ̀-èdè e Nàíjíríà.,The World Cup will be held in Nigeria.
Lọ́ládé ran ikọ̀ Ọ̀wọ̀ lọ́wọ́ láti yege nínú u ìdíje náà.,"Today, he helped the ambassador to win the competition."
Lọlá ti gbá bọ́ọ̀lù mẹ́jọ sáwọ̀n nínú ìfẹsẹ̀wọnsẹ̀ náà.,Lola has hit eight balls in the match.
Ikọ̀ agbábọ́ọ̀lù Ọ̀wọ̀ ti lọ sí ìlú Ìbàdàn fún ìgbáradì i wọn.,The team of football players has gone to the city of Ibadan for their preparation.
Ọ̀wọ̀ parí pẹ̀lú ipò kẹrin nínú àbájáde ìdìbò àmì ẹ̀yẹ náà.,Respect finished with fourth place in the award voting results.
Agbábọ́ọ̀lù tí ó dára jùlọ lágbàáyé ni Rẹ̀mílẹ́kún Àjànàkú .,The best footballer in the world is Remileken Ajanaku.
Ayọ̀ gba àmì-ẹ̀yẹ láti ọ̀wọ́ ọ Àjọ Eré Bọ́ọ̀lù u Ilẹ̀ Òkèèrè.,Ayoy received an award from the International Football Association.
Tẹ́jú yóò dara pọ̀ mọ́ ikọ̀ agbábọ́ọ̀lù ilẹ̀ ẹ wa láìpẹ́.,Teju will soon join our national football team.
Atamátàsé náà yóò dara pọ̀ mọ́ ikọ̀ agbábọ́ọ̀lù Ọ̀wọ̀.,The Atamatase will be joined by the Ambassador of Respect.
Rẹ̀mi yóò kúrò nínú ikọ̀ agbábọ́ọ̀lù Ìbàdàn lọ́la.,He will leave the Ibadan football team tomorrow.
Wọlé yóò sọ ọ̀rọ̀ náà di mímọ̀ lọ́jọ́ ìṣẹ́gun.,Login will make the word known on the day of victory.
Ọmọ ọdún méjìdínlógún ọ̀hún ti ṣetán láti darapọ̀ mọ́ wa.,The 18-year-old is ready to join us.
Lékan ti kópa fún ikọ̀ agbábọ́ọ̀lù Ọ̀sun nígbà mẹ́ta pére.,He has participated in the Osun football team only three times.
Èdè e Yorùbá ni wón fi tẹ àtẹ̀jíṣẹ́ tí wón fi ránṣẹ́ sí mi.,The letter they sent to me was typed in Yoruba.
Lará jẹ́ ọmọbíbí inú u agbábọ́ọ̀lù tẹ́lẹ̀rí fún orílẹ̀-èdè náà.,Lara is a born football player for the country.
Àtúpalẹ̀ àwọn ìfẹsẹ̀wọnsẹ̀ ìdíje náà ti jáde.,The analysis of the matches of the tournament is out.
Àwọn Ìfẹsẹ̀wọnsẹ̀ náà yóò wáyé lópin ọ̀sẹ̀.,The matches will take place at the end of the week.
Ikọ̀ agbábọ́ọ̀lù Ọ̀sun fàgbà han Ọ̀yọ́.,Osun's football player's skills are reflected in Oyo.
Àmì ayò mẹ́ta sí méjì ni wón gbá nínú ìfẹsẹ̀wọnsẹ̀ náà.,The score was 3 to 2 in the match.
Ilẹ̀ ẹ Gẹ̀ẹ́sì ni yóò maa gbàlejò ìdíje tí ó wáyé lópin ọ̀sẹ̀.,England will host the competition that took place at the end of the week.
Ikọ̀ agbábọ̀ọ̀lu Ìwó fẹ̀yìn Agodi bẹ́lẹ̀ pẹ̀lú ààmì ayò kan.,The Iwo football player's retirement from Agodi ended with a sign of happiness.
Àwọn ìfẹsẹ̀wọnsẹ̀ kọ̀ọ̀kan wáyé ṣaájú lọ́jọ́ àbámẹ́tà.,Each match took place three days earlier.
Ikọ̀ agbábọ́ọ̀lù Ìjẹ̀bú fàgbà han Èkó pẹ̀lú u ààmì ayò mẹ́ta.,Ijebu's football player showed Lagos with three goals.
Ọpẹ́ pàtàkì lọ́wọ́ àmì ayò tí Ọbáfẹ́mi gbá sáwọ̀n.,Special thanks to Obafemi for the sign of happiness.
Ikọ̀ ọ Ìdèrè lu Àkúré pẹ̀lú àmì ayò méjì sí òdo.,Idere's team beat Akure with two goals to zero.
Ikọ̀ ọ Tápà na Ìdìyán pẹ̀lú àmì ayò méjì sí òdo.,Tapa hit Idiyan with two goals to zero.
Ikọ̀ ọ Tápà parí ọdún yìí sípò kẹrìnlélógójì.,Tapa finished this year in 44th place.
Ikọ̀ ọ Nàíjíríà parí ọdún náà pẹ̀lú u dídi ipò kẹta mú.,The Nigerian team finished the year in third place.
Ikọ̀ agbábọ́ọ̀lù yìí ti gba ife ẹ̀yẹ ilẹ̀ Adúláwọ̀ lẹ́ẹ̀mẹta.,This footballer has won the Adulalao three times.
Àwọn ikọ̀ agbábọ́ọ̀lù u Nàíjíríà ti dé láti orílè-èdè e Gèésì.,Nigeria's football ambassadors have arrived from Greece.
Ikọ̀ agbábọ́ọ̀lù orílẹ̀-èdè Sípéènì dipò kínní i wọn mú síbẹ̀.,The Spanish national football team instead of what brought them there.
Ikọ̀ ọ Tápà di ipò kẹta mú lóríi tábìlì nínú u ìdíje náà.,Tapa's team took the third place on the table in the competition.
Ikọ̀ ọ Nàíjíríà wà ní ipò karùn-ún lágbàáyé.,Nigeria is ranked fifth in the world.
"Àwọn agbábọ́ọ̀lù náà yóò tún jáde lọ́jọ́ keje, oṣù kejì.",The players will come out again on the seventh day of the second month.
Àrẹ̀mú kí mi káàbọ̀ padà sínú ìdíje àgbáyé náà.,Welcome back to the world competition.
Adé sọ lọ́jọ́bọ̀ pé Olú ni akọ́nimọ̀ọ́gbá titun.,Adé said on Thursday that Olu is the new champion.
Ikọ̀ ọ Tápà yan Dáre gẹ́gẹ́ bí akọ́nimọ̀ọ́gbá ikọ̀ ọ wọn lóṣù yìí.,Tapa Football Club chose Dare as their champion this month.
Ikọ̀ ọ wa yóò tẹkọ̀ létí lọ sí pápá ìṣeré Ọ̀yọ́ ní ọjọ́ ọ Àbámẹ́ta.,Our team will return to the Oyo stadium on the third day.
Akọ́nimọ̀ọ́gbá ikọ̀ ọ Tápà ni ẹni tó kọ́kọ́ fi àtẹ̀jíṣẹ́ ránṣẹ́.,Ambassador Tapa was the one who sent the first message.
Gbadé ni ẹni àkọ́kọ́ tí ó kí mi káàbọ̀ padà.,Gbadé was the first person to welcome me back.
Ọ̀rẹ́ mi dạ́adáa ló jẹ́.,He is my good friend.
Mo ti mọ Táyé àti Kẹ́ǹdé láti ọjọ́ tó ti pẹ́.,I have known Tâyé and Këndé from a long time ago.
Láti ìgbà a kékeré mi ni mo tí ń ṣe dáradára.,I have been doing well since I was young.
"Akínkanjú ọkùnrin, akọ́nimọ̀ọ́gbá àti Alákòóso ni ó jẹ́.","He was a brave man, warrior and ruler."
Ikọ̀ agbábọ́ọ̀lù tí ó wà ní ìsàlẹ̀ ẹ tábìlì ni Ikọ̀ Ọ̀wọ̀.,The soccer ball at the bottom of the table is the Honor Ball.
Ilé-iṣẹ́ Ààrẹ ló pàdé ikọ̀ Tápà ní ìlú Àbújá.,The President's office met the ambassador in Abuja.
Dáre léwájú àwọn ènìyàn jàǹkàn-jàǹkàn lọ sí Ìjẹ̀bú.,"In front of the people, they rushed to Ijebu."
Rẹ̀mí pàdé ikọ̀ Tápà bí wọ́n ṣe dé sí ìlú Àbújá.,He met Tapa's ambassador when they arrived in Abuja.
Ikọ̀ agbábọ́ọ̀lù u Nàíjíríà gba ife ẹ̀yẹ àwọn Obìnrin.,Nigeria won the Women's Cup.
Lára àwọn ọmọ ẹgbẹ́ ikọ̀ ọ Tápà tí ó wọ ìlú Àbújá ni akọ̀wé.,Among the members of the Tapa delegation that entered the city of Abuja was the secretary.
Ní ọjọ́ Àbámẹ́ta ni Bọ́lá jáde láyé.,Bola was born on the third day.
Àjíní kí gbogbo yín káàbọ̀ padà.,Welcome back to all of you.
Kíkẹ́ kí àwọn ènìyàn náà kú iṣẹ́.,Pray for the people to die.
Ọmọ orílẹ̀-èdè e Nàíjíríà méjì ọ̀tọ̀ọ̀tọ̀ ni ó wá.,Two different Nigerians came.
"Ẹ jọ̀wọ́, ẹ sinmi dáradára.","Please, rest well."
A óò kàn si yín lórí àwọn ẹ̀tọ́ tí a ti là kalẹ̀ fún-un yín láìpẹ́,We will contact you about the rights that we have established for you soon
Akọ́nimọ̀ọ́gbá a wa fún ikọ̀ agbábọ́ọ̀lù àwọn ọkùnrin ní ọwọ́.,There is a champion for the men's football team.
Sọjí ṣojú orílẹ̀-èdè náà dáradára nínú u ìdíje ife ẹ̀yẹ náà.,Sosoji represented the country well in the cup competition.
Ikọ̀ ọ Tápà ti kéde Ṣọ̀gá gẹ́gẹ́ bí akọ́nimọ̀ọ́gbá a wọn.,Tapa's team has announced Choga as their champion.
Akọ́nimọ̀ọ́gbá ikọ̀ Tápà tẹ́lẹ̀rí ni Àjànàkú Omídiwúrà.,Ajajanaku Omidiwura was the master of televsion.
Ṣọlá rọ́pò o akọ́nimọ̀ọ́gbá ikọ̀ agbábọ́ọ̀lù u Nàíjíríà.,Shola replaces Nigeria's football champion.
Inú u wa á dùn lọ́pọ̀lọpọ̀ láti yàn Láolú gẹ́gẹ́ bíi akọ́nimọ̀ọ́gbá.,We will be very happy to choose Laoul as a champion.
Ṣọlá ni agbábọ́ọ̀lù tí ó ní ọ̀pọ̀lọpọ̀ ìrírí jù.,Xala is the most experienced footballer.
À ń fojú sọ́nà láti ṣàfihàn-an rẹ̀ lọ́jọ́ ìṣẹ́gun nílùú Nàíjíríà.,We are looking forward to presenting it on the day of victory in Nigeria.
Ìpàdé àwọn oníròyìn yóò wáyé ní agogo mẹ́jìlá ọ̀sán.,The press conference will be held at 12 noon.
Ladé wà nínú ikọ̀ náà fún ife ẹ̀yẹ àgbááyé ọdún tó kọjá.,Ladé was in the team for last year's World Cup.
Akálà kí ikọ̀ Nàíjíríà kú oríire gbígba ife ẹ̀yẹ ilẹ̀ Adúláwọ̀.,Akala congratulates the Nigerian ambassador on winning the trophy.
Ààrẹ kí ikọ̀ agbábọ́ọ̀lù Nàìjííríà kú oríire jíjáwé olúborí.,The President congratulated the Nigerian football player on becoming the winner.
Àṣekágbá ìdíje bọ́ọ̀lù àfẹsẹ̀gbá àwọn obìnrin wáyé lónìí.,The final of the women's football tournament took place today.
Ààrẹ fi ìdùnnú u rẹ̀ hàn látàrí ifarajìn ikọ̀ agbábọ́ọ̀lù u Nàíjíríà.,The president expressed his happiness at the dedication of the Nigerian footballer.
Adé sọ pé ikọ̀ ọ Tápà ti kọ́kọ́ pegedé láti ṣojú u Nàíjíríà.,Adé said that Tapa's ambassador was ready to represent Nigeria.
Òjó gbóríyìn fún ikọ̀ obìnrin orílẹ̀-èdè yìí.,Ojo praised the ambassador of this country's woman.
Ààrẹ Àjàyí tún gbóríyìn fún àwọn ikọ̀ ọ akọ́nimọ̀ọ́gbá a wa.,President Ajayi also praised our brave ambassadors.
Èmi kì í ṣe iyèméjí lórí ìyege àwọn ọmọ orílẹ̀-èdè e Nàíjíríà.,I do not doubt the integrity of Nigerians.
Ọlá ṣàlàyé ohun tí ó ń dùn ún nínú nípa ikọ̀ ọ Ọ̀wọ̀.,Ola explains what makes him sad about the message of Respect.
Ikọ̀ ọ Nàíjíríà ṣe gbáradì fún àwọn ojúṣe wọn lọ́dún tó ń bọ̀.,Nigerians prepare for their responsibilities in the coming year.
Akọ́nimọ̀ọ́gbá ikọ̀ ọ orílẹ̀-èdè e Nàíjíríà ti fi ìdùnnú u rẹ̀ hàn.,The Nigerian ambassador expressed his happiness.
Ikọ̀ Nàíjíríà yóò bẹẹrẹ ìgbáradì fún ìdíje tó ń bọ̀.,Nigeria will continue to prepare for the upcoming tournament.
Àwọn agbábọ́ọ̀lù tí ó wà nílẹ̀ ti wá sí Nàíjíríà.,Local footballers have come to Nigeria.
Mo fẹ́ràn ifagagbága náà.,I like the competition.
Ikọ̀ ọ Nàíjíríà ta sánsán ní ọwọ́ iwájú nínú u ìdíje náà.,Nigeria's team is at the forefront of the competition.
Àwọn ọmọ ọkùnrin tuntun wònyí ń ṣe dáadáa.,These new boys are doing well.
"Kálu lè di èyìn mú, ó sì lè gbá ọwọ́ iwájú.",Kalu can hold the back and can slap the front hand.
Rẹ̀mí gbóríyìn fún ilé ìfowópamọ́ ọ wa fún ipa tí a kó.,He commends our bank for the role played.
Wálé dúpẹ́ lọ́wọ́ ilé ìfowópamọ́ náà fún àtilẹ́yìn wọn.,Wale thanked the bank for their support.
Ikọ̀ ọ Nàíjíríà dúpẹ́ fún àtìlẹyìn ilé ìfowópamọ́ náà.,The Nigerian government is grateful for the bank's support.
Ìlú Ọ̀wọ̀ ni ife ẹ̀yẹ àwọn obìnrin tí ó lọ lọ́wọ́.,City of Respect is the women's trophy that goes hand in hand.
Àwọn ikọ̀ agbábóọ̀lù ilẹ̀ ẹ Nàíjíríà ṣe é mú yangàn.,The Nigerian footballers made him proud.
Ikọ̀ ọ Tápà pegedé sí àṣekágbá ìdíje tó ń lọ lọ́wọ́.,Tapa is perfect for the competition that is going on.
Ikọ̀ ọ Tápà ti pegedé sí àṣekágbá a ìdíje náà.,Tapa's team is ready for the finals of the competition.
Ikọ̀ ọ Tápà fàgbà han ikọ̀ Ọ̀wọ̀ pẹ̀lú àmì ayò mẹ́rin sí méjì.,Tapa's hand raised the hand of Respect with a score of four to two.
Orílẹ̀-èdè e Nàíjíríà ti pegedé sí àṣekágbá ìdíje náà.,The country of Nigeria is ready for the competition.
Kálamù fẹ̀yìntì nínú eré e bọ́ọ̀lù àfẹsẹ̀gbá.,Kalam retired from cricket.
Agbábọ́ọ̀lù ikọ̀ Ọ̀wọ̀ ti kéde ìfẹ̀yìntì i rẹ̀ gẹ́gẹ́ bíi agbábóọ̀lù.,The footballer has announced his retirement as a footballer.
Ọmọ náà gbá àmì-ayò mẹ́fà sáwọ̀n nínú u ìfẹsẹ̀wọnsẹ̀ náà.,The kid scored six goals in the streak.
Ikọ̀ ọ onípele kejì ni Àjàní ń gbá bọ́ọ̀lù fún báyìí.,Ajani is currently playing for the second level team.
Adé gbé àwòrán ìgbà kékeré rẹ̀ sí orí ìkànnìi ayélujára rẹ̀.,Adé posted a picture of his childhood on his website.
Ikọ̀ ọ Ọ̀sun lu ikọ̀ ọ Tápà pẹ̀lú u àmì ayò mẹ́rin sí òdo.,Osun's arrow beat Tapa's arrow with four goals to zero.
Ikọ̀ Tápà orílẹ̀-èdè e Nàìjííríà lu ikọ̀ Ìwó jágbajàgba.,Nigeria's soccer team beat Iwo's soccer team.
Ikọ̀ tí ife ẹ̀yẹ náà wà lọ́wọ́ rẹ̀ ni Ikọ̀ ọ Ọ̀wọ̀.,The hand holding the trophy is the Hand of Respect.
Rọ́pò gbá àmi ayò ìṣíde wọlé.,"Instead, throw in the sunrise sign."
Ọlá tún fi òmíràn kún-un láti sọ ọ́ di àmì ayò mẹ́ta sí òdo.,Ola added another to make it three goals to zero.
Ìjáwé olúborí yìí ni ó jẹ́ kí ikọ̀ ọ Nàíjíríà bú sáyọ̀.,This winner's speech made the Nigerian ambassador happy.
Ikọ̀ ọ Tápà yóò wá máa bá ikọ̀ Ìwó wàákò nínú u ìdíje náà.,Tapa's team will compete with Iwo's team first in the competition.
Ààrẹ kí ikọ̀ ọ Ọ̀wọ̀ kú oríire ìpegedé sínú u ìdíje ilẹ̀ ẹ Adúláwọ̀.,The President wishes the ambassador good luck in the competition in the country of Adulalaw.
Ikọ̀ ọ Tápà kú u oríire ìpegedé sínú u ìdíje ife ẹ̀yẹ agbaye.,Good luck in qualifying for the World Cup.
